store_id,uptime_last_hour(minutes),downtime_last_hour(minutes),uptime_last_day(hours),downtime_last_day(hours),update_last_week(days),downtime_last_week(days)
4894791864539115200,60,0,24,0,7,0
6529727365761998945,60,0,24,0,7,0
2937297056410899541,60,0,24,0,7,0
7257064183173214729,60,0,24,0,7,0
3151529852031249810,60,0,24,0,7,0
8258804424046746943,60,0,24,0,7,0
6614523831540505463,60,0,24,0,7,0
1826435698432426239,60,0,24,0,7,0
4333246355539626670,60,0,24,0,7,0
4644728874609587438,60,0,24,0,7,0
646862635677872649,60,0,24,0,6,1
3762462515785465924,60,0,24,0,7,0
7150774588280614833,60,0,24,0,7,0
8345736932152836262,60,0,24,0,7,0
6807898943856172607,0,60,0,24,0,7
1666841521765803410,60,0,24,0,7,0
333363422900954809,60,0,24,0,7,0
8957614279107724771,60,0,24,0,7,0
5945586020471081479,60,0,24,0,7,0
6472421132249756772,60,0,24,0,7,0
7761606104561337031,60,0,24,0,7,0
838975604215828311,60,0,24,0,7,0
3266261351669573692,60,0,24,0,7,0
2795813457317920490,0,60,0,24,0,7
4605930245483207319,60,0,24,0,7,0
2962311335535390960,0,0,0,0,0,0
7268756666846583478,0,60,0,24,0,7
1630572092685790853,60,0,24,0,7,0
8937336970477990571,60,0,24,0,7,0
5573042382995353167,60,0,24,0,7,0
2919034318358144116,60,0,24,0,7,0
1069175913867471706,60,0,24,0,7,0
875843728245815497,60,0,24,0,7,0
674181715362434303,60,0,24,0,7,0
6919205629015311844,60,0,24,0,7,0
5833524886918537002,60,0,24,0,7,0
895776572353408414,60,0,24,0,7,0
3128372722755492220,60,0,24,0,7,0
7623827925406279462,60,0,24,0,7,0
7380452304013001940,60,0,24,0,7,0
4735020268815610999,60,0,24,0,7,0
4379354991255025015,60,0,24,0,7,0
586828640680309708,60,0,24,0,7,0
4411708924362315807,60,0,24,0,7,0
3602624699088147408,60,0,24,0,7,0
808823578625004293,60,0,24,0,7,0
4537118630493879732,60,0,24,0,7,0
6768421287930768369,60,0,24,0,7,0
5204205417198497707,60,0,24,0,7,0
6218610446218045507,60,0,24,0,7,0
4038122761946492291,60,0,24,0,7,0
4521472232575735964,60,0,24,0,7,0
6164497053337196872,60,0,24,0,7,0
2746426715779371861,60,0,24,0,7,0
3592833730880444385,60,0,24,0,7,0
6084129894248182147,60,0,24,0,7,0
2968757472314064027,60,0,24,0,7,0
6864988578947949086,60,0,24,0,7,0
2341975151855811674,60,0,24,0,7,0
1545419770545519833,60,0,24,0,7,0
3984770485507574882,60,0,24,0,7,0
6608528256001332810,60,0,24,0,7,0
2973766607541934236,60,0,24,0,7,0
4079089274955837207,60,0,24,0,7,0
4398082883008351949,60,0,24,0,7,0
8191797924941731759,60,0,24,0,7,0
2662551240879654986,60,0,24,0,7,0
6891979499390404721,60,0,24,0,7,0
6740922013757682995,60,0,24,0,7,0
7995554789749200173,60,0,24,0,7,0
7220973262594195425,60,0,24,0,7,0
2547992708873404100,60,0,24,0,7,0
4783594666522589213,60,0,24,0,7,0
3427928602063028232,60,0,24,0,7,0
3871342332526523326,60,0,24,0,7,0
4015395599881112256,60,0,24,0,7,0
1404363152012971654,60,0,24,0,7,0
2097768219460516447,60,0,24,0,7,0
504331488096931942,60,0,24,0,7,0
774816811015287446,0,60,0,24,0,7
7223258670951219118,60,0,24,0,7,0
4467068553511405146,60,0,24,0,7,0
2107578749059541867,60,0,24,0,7,0
5542499542228920905,60,0,24,0,7,0
5036997234964374401,60,0,24,0,7,0
7184588537939096369,60,0,24,0,7,0
3261499711683468740,60,0,24,0,7,0
4336560822635846731,60,0,24,0,7,0
5750671646927722816,60,0,24,0,7,0
5219832925489842912,60,0,24,0,7,0
6034454880939136883,60,0,24,0,7,0
1209276477146037485,60,0,24,0,7,0
8915497710891717822,60,0,24,0,7,0
8335674997994907960,60,0,24,0,7,0
8911368470440272064,60,0,24,0,7,0
8315395491061125019,60,0,24,0,7,0
1670544066363019946,60,0,24,0,7,0
3211772869478790020,60,0,24,0,7,0
3851218396063293521,60,0,24,0,7,0
377793925363054037,60,0,24,0,7,0
1166676227748031010,60,0,24,0,7,0
3794745111072104224,60,0,24,0,7,0
2454029148522845822,60,0,24,0,7,0
2123709446545200911,60,0,24,0,7,0
572367105408911827,60,0,24,0,7,0
4418964457147479291,60,0,24,0,7,0
2997579043198108695,60,0,24,0,7,0
438626569442631056,60,0,24,0,7,0
1300195604760986700,60,0,24,0,7,0
22284400831843180,60,0,24,0,7,0
4169529855775714048,60,0,24,0,7,0
2422785024605135486,60,0,24,0,7,0
7293080882699237692,60,0,24,0,7,0
3283492708296652331,60,0,24,0,7,0
9204962793113048005,60,0,24,0,7,0
8190956604937856935,60,0,24,0,7,0
12572597046904092,60,0,24,0,7,0
2720338911902135987,60,0,24,0,7,0
1964438083180033038,60,0,24,0,7,0
